text,category
beli makan 10 ribu di warteg,Makan & Minum
sarapan bubur 12 rb,Makan & Minum
kopi susu 25 ribu di janji jiwa,Makan & Minum
makan siang ayam geprek 18 ribu,Makan & Minum
beli nasi padang 30 rb,Makan & Minum
grabfood 45 ribu,Makan & Minum
jajan gorengan 8 ribu,Makan & Minum
beli air mineral 5 ribu,Makan & Minum
makan malam ramen 55 ribu,Makan & Minum
cemilan roti 15 rb,Makan & Minum
bayar makan kantin 20ribu,Makan & Minum
beli es teh 6 rb,Makan & Minum
pesan gofood 40 ribu,Makan & Minum
naik gojek 18 ribu,Transport
ongkos angkot 5 ribu,Transport
bayar parkir 3 ribu,Transport
isi bensin 50 rb,Transport
top up e toll 100 ribu,Transport
tiket kereta 35 ribu,Transport
grab bike 22 rb ke kantor,Transport
biaya tol 15 ribu,Transport
servis oli motor 70 rb,Transport
naik busway 3500,Transport
taksi bandara 120 rb,Transport
sewa motor 75 ribu,Transport
beli tiket bus 90 ribu,Transport
beli sepatu 250 ribu,Belanja
belanja bulanan 500 rb di supermarket,Belanja
beli baju 150 ribu,Belanja
beli sabun 20 ribu,Belanja
belanja online 100 rb di tokopedia,Belanja
beli alat tulis 30 rb,Belanja
beli skincare 80 ribu,Belanja
beli tas 200 ribu,Belanja
checkout shopee 75 rb,Belanja
beli charger 60 rb,Belanja
belanja sayur 40 ribu di pasar,Belanja
beli celana 180 ribu,Belanja
pesan barang lazada 120 ribu,Belanja
bayar listrik 200 ribu,Tagihan
bayar internet 300 rb,Tagihan
tagihan air 80 ribu,Tagihan
bayar kos 800 ribu,Tagihan
cicilan motor 1 juta,Tagihan
bayar kartu kredit 500 rb,Tagihan
langganan netflix 65 ribu,Tagihan
bayar pdam 90 ribu,Tagihan
bayar iuran keamanan 50 rb,Tagihan
bayar bpjs 150 ribu,Tagihan
bayar telepon 100 ribu,Tagihan
bayar kontrakan 1.5 juta,Tagihan
iuran lingkungan 35 ribu,Tagihan
nonton bioskop 50 ribu,Hiburan
karaoke 120 rb,Hiburan
beli game steam 80 ribu,Hiburan
konser musik 300 ribu,Hiburan
langganan spotify 55 ribu,Hiburan
main bowling 75 ribu,Hiburan
tiket wisata 100 rb,Hiburan
nongkrong cafe 60 ribu,Hiburan
beli buku novel 90 ribu,Hiburan
sewa lapangan futsal 150 ribu,Hiburan
membeli voucher game 40 rb,Hiburan
liburan pantai 500 rb,Hiburan
bayar tiket museum 25 ribu,Hiburan
gaji bulanan masuk 5 juta,Gaji/Pemasukan
menerima gaji 7000000,Gaji/Pemasukan
pemasukan freelance 1 juta,Gaji/Pemasukan
bonus kantor 500 rb,Gaji/Pemasukan
uang lembur 250 ribu,Gaji/Pemasukan
transfer masuk dari ayah 300 rb,Gaji/Pemasukan
refund belanja 100 ribu,Gaji/Pemasukan
hasil jual barang 200 rb,Gaji/Pemasukan
dividen saham 150 ribu,Gaji/Pemasukan
komisi proyek 750 ribu,Gaji/Pemasukan
honor mengajar 400 rb,Gaji/Pemasukan
cashback masuk 25 ribu,Gaji/Pemasukan
pendapatan toko 2 juta,Gaji/Pemasukan
beli obat 35 ribu,Kesehatan
periksa dokter 150 rb,Kesehatan
bayar klinik 200 ribu,Kesehatan
vitamin 80 ribu,Kesehatan
cek lab 300 rb,Kesehatan
bayar apotek 45 ribu,Kesehatan
konsultasi psikolog 250 ribu,Kesehatan
beli masker 20 rb,Kesehatan
vaksin 100 ribu,Kesehatan
biaya rumah sakit 1 juta,Kesehatan
terapi fisioterapi 175 ribu,Kesehatan
obat batuk 25 rb,Kesehatan
tebus resep dokter 90 ribu,Kesehatan
transfer 100 rb ke budi,Transfer
kirim uang 250 ribu ke ibu,Transfer
tf ke dana 50 ribu,Transfer
top up ovo 100 rb,Transfer
isi saldo gopay 75 ribu,Transfer
transfer antar bank 500 rb,Transfer
kirim ke rekening mandiri 1 juta,Transfer
pindah saldo ke tabungan 300 ribu,Transfer
tarik tunai 200 rb,Transfer
setor tunai 400 ribu,Transfer
investasi 100 rb di bibit,Transfer
top up bibit 100 ribu,Transfer
beli reksadana di bibit 250 ribu,Transfer

